batch_id,timestamp,granulation_time,binder_amount,drying_temp,drying_time,compression_force,machine_speed,energy_consumption,yield_pct,quality_pct,performance_score
BATCH_1227,2026-04-30 18:13:30,29.22,5.71,54.0,99.99,22.1,44.16,368.54,92.7,76.61,59.55
BATCH_1228,2026-04-30 22:13:30,32.85,7.93,41.33,90.59,21.38,46.0,294.77,96.7,68.28,60.32
BATCH_1229,2026-05-01 02:13:30,46.8,10.42,70.08,74.22,20.04,49.58,353.47,87.37,87.82,62.41
BATCH_1230,2026-05-01 06:13:30,32.7,4.89,53.15,66.64,12.15,58.08,254.26,76.1,84.84,60.08
BATCH_1231,2026-05-01 10:13:30,42.16,3.26,67.91,34.48,26.78,45.06,229.24,79.86,71.99,57.3
BATCH_1232,2026-05-01 14:13:30,40.46,5.82,40.3,53.58,16.95,29.44,165.34,88.24,66.81,60.75
BATCH_1233,2026-05-01 18:13:30,33.48,11.16,68.93,113.23,22.52,37.43,437.09,89.56,68.5,52.72
BATCH_1234,2026-05-01 22:13:30,61.44,4.39,47.89,49.39,12.18,43.08,187.65,77.49,70.63,57.22
BATCH_1235,2026-05-02 02:13:30,46.34,9.28,67.31,78.79,14.1,60.68,371.33,85.05,90.83,62.08
BATCH_1236,2026-05-02 06:13:30,19.75,9.36,60.14,95.15,27.18,26.02,343.1,86.11,89.52,62.94
BATCH_1237,2026-05-02 10:13:30,41.86,4.89,50.46,49.9,18.26,52.03,223.64,85.95,76.22,61.61
BATCH_1238,2026-05-02 14:13:30,33.38,7.14,55.93,78.69,27.27,41.8,600.55,87.9,93.24,56.4
BATCH_1239,2026-05-02 18:13:30,48.52,9.26,66.86,93.76,19.61,48.38,419.01,90.71,79.5,58.2
BATCH_1240,2026-05-02 22:13:30,32.07,5.24,61.06,75.25,10.79,38.98,276.17,77.02,96.19,64.25
BATCH_1241,2026-05-03 02:13:30,38.85,5.59,65.84,132.37,24.46,31.58,502.91,93.97,63.34,50.19
BATCH_1242,2026-05-03 06:13:30,45.05,4.84,79.76,41.63,17.05,47.51,273.34,84.14,59.69,52.59
BATCH_1243,2026-05-03 10:13:30,48.66,3.97,44.36,96.17,23.49,46.54,339.05,89.93,72.34,57.74
BATCH_1244,2026-05-03 14:13:30,28.0,4.7,76.17,71.54,20.13,49.72,357.46,91.42,75.03,58.78
BATCH_1245,2026-05-03 18:13:30,36.65,3.55,61.04,90.44,12.28,39.87,341.01,77.62,88.84,59.35
BATCH_1246,2026-05-03 22:13:30,35.25,6.07,51.01,83.83,20.82,34.0,296.13,94.56,85.21,66.2
BATCH_1247,2026-05-04 02:13:30,33.47,4.46,46.7,60.34,30.98,24.41,227.75,80.79,74.27,58.63
BATCH_1248,2026-05-04 06:13:30,57.65,6.47,58.11,79.58,22.46,48.19,321.24,94.26,94.58,68.97
BATCH_1249,2026-05-04 10:13:30,44.05,2.89,69.22,37.84,19.71,44.24,237.85,87.53,69.94,59.25
BATCH_1250,2026-05-04 14:13:30,27.39,6.66,58.72,87.06,25.38,30.34,322.39,87.48,90.57,64.61
BATCH_1251,2026-05-04 18:13:30,49.18,7.67,75.11,80.96,21.05,34.61,381.59,90.85,79.37,59.47
BATCH_1252,2026-05-04 22:13:30,61.22,2.01,45.49,87.77,21.05,35.33,329.3,89.27,75.89,59.22
BATCH_1253,2026-05-05 02:13:30,50.32,6.75,59.88,96.16,14.54,25.17,346.88,86.1,88.03,62.21
BATCH_1254,2026-05-05 06:13:30,24.81,8.46,47.48,82.35,21.17,31.82,255.99,95.8,81.29,66.49
BATCH_1255,2026-05-05 10:13:30,35.16,3.58,63.64,77.96,25.18,28.66,290.29,87.38,91.82,66.16
BATCH_1256,2026-05-05 14:13:30,52.67,9.35,68.87,57.38,15.82,35.88,290.16,78.03,75.81,56.03
BATCH_1257,2026-05-05 18:13:30,32.92,6.84,55.79,60.76,27.12,32.61,236.53,90.92,88.34,68.01
BATCH_1258,2026-05-05 22:13:30,44.44,4.59,33.96,98.73,19.54,23.73,211.91,88.41,59.21,56.2
BATCH_1259,2026-05-06 02:13:30,47.75,5.89,61.99,103.73,15.56,60.23,943.94,84.49,86.25,40.58
BATCH_1260,2026-05-06 06:13:30,30.73,7.12,64.37,70.24,24.99,52.53,367.66,96.29,91.68,67.04
BATCH_1261,2026-05-06 10:13:30,39.4,6.15,64.04,75.92,18.57,32.21,322.25,93.72,95.01,68.89
BATCH_1262,2026-05-06 14:13:30,15.0,7.08,72.36,56.91,23.8,42.72,292.36,98.77,74.71,63.8
BATCH_1263,2026-05-06 18:13:30,29.76,4.16,49.29,98.46,18.54,44.17,327.67,89.79,74.15,58.79
BATCH_1264,2026-05-06 22:13:30,37.47,6.34,66.8,88.31,19.7,51.91,386.51,99.9,87.39,66.13
BATCH_1265,2026-05-07 02:13:30,27.52,3.17,71.93,113.82,22.47,31.81,482.38,88.01,68.91,50.73
BATCH_1266,2026-05-07 06:13:30,56.32,5.78,42.21,57.43,21.45,50.92,237.89,88.57,68.28,59.01
BATCH_1267,2026-05-07 10:13:30,25.7,4.19,63.2,67.44,10.02,34.52,268.16,73.97,91.11,61.27
BATCH_1268,2026-05-07 14:13:30,35.6,4.53,54.96,79.63,14.39,26.64,281.8,85.9,91.49,65.73
BATCH_1269,2026-05-07 18:13:30,41.31,8.47,59.18,87.93,24.65,47.24,381.42,93.01,94.87,66.54
BATCH_1270,2026-05-07 22:13:30,54.41,8.18,63.48,70.69,19.34,52.91,327.97,93.02,91.73,67.1
BATCH_1271,2026-05-08 02:13:30,25.64,7.22,55.13,57.54,17.38,65.88,274.16,93.69,81.88,65.26
BATCH_1272,2026-05-08 06:13:30,51.63,3.82,53.24,92.63,13.21,28.0,300.61,75.86,81.52,57.09
BATCH_1273,2026-05-08 10:13:30,40.1,5.37,60.34,89.42,14.6,46.99,328.51,81.21,93.07,62.9
BATCH_1274,2026-05-08 14:13:30,30.18,8.43,49.13,56.67,9.89,35.9,176.67,80.45,76.7,61.21
BATCH_1275,2026-05-08 18:13:30,44.62,6.28,49.14,102.11,19.49,47.83,349.06,90.63,75.15,58.8
BATCH_1276,2026-05-08 22:13:30,41.99,10.64,66.79,98.4,17.01,25.3,397.7,78.65,77.03,53.11
BATCH_1277,2026-05-09 02:13:30,34.0,6.79,48.51,77.69,15.17,27.37,235.89,81.62,83.71,62.46
BATCH_1278,2026-05-09 06:13:30,40.7,6.38,66.66,76.59,19.66,32.24,308.21,84.66,93.74,65.24
BATCH_1279,2026-05-09 10:13:30,36.15,5.38,64.63,86.08,21.82,40.79,368.28,97.2,88.51,66.12
BATCH_1280,2026-05-09 14:13:30,41.14,6.27,42.74,57.77,30.47,33.59,388.12,75.36,68.75,48.81
BATCH_1281,2026-05-09 18:13:30,46.62,5.7,53.22,75.6,12.44,46.59,273.66,82.11,91.24,64.39
BATCH_1282,2026-05-09 22:13:30,55.86,7.42,71.94,31.95,25.8,50.27,260.41,93.25,63.7,58.28
BATCH_1283,2026-05-10 02:13:30,27.62,7.91,50.19,92.53,24.87,46.0,352.79,90.89,80.91,61.08
BATCH_1284,2026-05-10 06:13:30,61.33,4.43,55.36,43.77,16.1,56.19,215.29,85.76,76.68,62.01
BATCH_1285,2026-05-10 10:13:30,20.48,3.34,64.62,105.07,21.02,44.16,414.72,88.0,79.72,57.35
BATCH_1286,2026-05-10 14:13:30,38.48,2.33,67.83,68.4,17.71,27.83,275.06,86.18,90.61,65.72
BATCH_1287,2026-05-10 18:13:30,45.88,7.02,57.48,70.77,20.93,53.63,326.62,97.08,94.61,69.92
BATCH_1288,2026-05-10 22:13:30,42.81,3.79,54.02,62.45,27.55,33.95,286.63,79.41,83.59,59.81
BATCH_1289,2026-05-11 02:13:30,33.77,1.69,74.22,69.24,23.03,49.1,359.58,86.02,79.83,58.47
BATCH_1290,2026-05-11 06:13:30,37.92,6.78,77.39,103.37,22.54,55.74,515.84,96.31,60.47,49.54
BATCH_1291,2026-05-11 10:13:30,35.07,10.99,69.79,25.24,17.85,44.57,191.26,82.37,61.52,55.41
BATCH_1292,2026-05-11 14:13:30,34.11,5.99,60.85,100.54,12.58,25.04,355.74,78.33,84.53,57.41
BATCH_1293,2026-05-11 18:13:30,48.5,7.68,51.92,81.76,18.96,30.82,289.77,97.05,86.18,67.79
BATCH_1294,2026-05-11 22:13:30,43.57,6.16,51.7,50.86,26.03,53.23,246.24,88.52,77.1,62.23
BATCH_1295,2026-05-12 02:13:30,33.07,5.8,65.23,53.49,12.36,38.31,239.07,81.96,82.5,62.01
BATCH_1296,2026-05-12 06:13:30,49.0,7.84,64.18,108.53,14.72,40.8,406.9,84.91,77.82,55.62
BATCH_1297,2026-05-12 10:13:30,43.07,5.42,74.02,56.09,20.63,47.59,290.65,89.61,71.66,58.98
BATCH_1298,2026-05-12 14:13:30,48.13,6.53,66.5,51.93,15.08,46.96,248.2,90.27,81.53,64.64
BATCH_1299,2026-05-12 18:13:30,46.3,6.64,44.97,97.75,16.04,42.79,289.04,91.38,71.74,59.78
BATCH_1300,2026-05-12 22:13:30,31.71,4.66,70.52,81.77,17.88,37.91,796.41,92.96,85.24,48.57
BATCH_1301,2026-05-13 02:13:30,34.4,7.98,50.02,56.24,13.17,36.87,175.1,84.44,73.55,61.59
BATCH_1302,2026-05-13 06:13:30,47.47,5.65,56.16,79.33,15.13,48.58,319.68,81.0,91.17,62.35
BATCH_1303,2026-05-13 10:13:30,46.1,4.49,62.5,54.48,23.52,45.54,295.91,91.06,85.13,64.77
BATCH_1304,2026-05-13 14:13:30,39.79,7.07,79.96,97.02,13.46,37.43,418.85,89.07,66.16,52.21
BATCH_1305,2026-05-13 18:13:30,41.17,4.2,91.1,96.23,12.01,50.82,522.41,78.88,50.0,38.15
BATCH_1306,2026-05-13 22:13:30,52.78,6.06,66.07,85.64,16.85,38.71,349.31,92.85,86.63,64.27
BATCH_1307,2026-05-14 02:13:30,34.08,5.98,58.17,82.23,23.66,31.48,328.66,96.85,92.76,69.02
BATCH_1308,2026-05-14 06:13:30,45.47,8.17,65.35,110.22,19.02,32.41,701.83,90.01,76.93,47.28
BATCH_1309,2026-05-14 10:13:30,37.98,6.95,68.88,74.99,17.68,30.21,320.41,94.94,88.02,66.65
BATCH_1310,2026-05-14 14:13:30,37.82,5.95,56.79,51.36,20.22,37.28,222.29,89.89,84.18,66.43
BATCH_1311,2026-05-14 18:13:30,50.99,7.64,77.95,83.99,11.27,52.34,418.23,80.85,74.49,52.28
BATCH_1312,2026-05-14 22:13:30,48.25,8.78,62.3,116.72,22.47,31.95,426.56,93.47,73.91,56.81
BATCH_1313,2026-05-15 02:13:30,48.14,7.12,64.98,54.7,21.92,41.88,284.35,98.48,85.95,68.46
BATCH_1314,2026-05-15 06:13:30,53.05,6.02,66.66,67.77,17.95,33.43,316.94,87.65,86.26,63.15
BATCH_1315,2026-05-15 10:13:30,40.21,3.38,64.22,83.33,25.03,37.4,373.28,83.86,88.41,60.57
BATCH_1316,2026-05-15 14:13:30,46.82,3.87,68.39,73.92,14.36,24.9,339.66,79.28,90.15,60.58
BATCH_1317,2026-05-15 18:13:30,36.9,5.39,53.83,55.35,25.64,37.79,237.02,87.63,83.41,64.71
BATCH_1318,2026-05-15 22:13:30,43.24,4.78,54.42,97.44,20.77,38.06,364.35,92.36,81.53,61.52
BATCH_1319,2026-05-16 02:13:30,38.7,5.63,49.0,121.4,18.32,45.4,381.71,88.1,62.03,51.43
BATCH_1320,2026-05-16 06:13:30,40.97,6.11,64.4,78.92,19.9,42.23,360.33,94.09,92.07,66.57
BATCH_1321,2026-05-16 10:13:30,45.95,7.06,67.79,56.92,19.46,28.02,259.41,94.07,79.74,65.06
BATCH_1322,2026-05-16 14:13:30,31.82,5.86,64.58,44.02,26.1,50.84,258.39,90.39,74.49,61.52
BATCH_1323,2026-05-16 18:13:30,60.92,6.97,76.74,80.16,14.62,42.1,406.88,88.24,77.34,56.76
BATCH_1324,2026-05-16 22:13:30,29.94,6.13,59.94,97.08,16.19,41.98,352.93,89.61,91.32,64.73
BATCH_1325,2026-05-17 02:13:30,27.86,2.05,66.69,84.5,25.18,39.91,354.9,81.92,84.57,58.89
BATCH_1326,2026-05-17 06:13:30,51.58,4.12,49.08,74.95,17.02,34.82,249.4,80.84,82.51,61.22
BATCH_1327,2026-05-17 10:13:30,47.92,5.71,56.13,63.21,24.5,42.18,293.33,88.16,87.68,64.71
BATCH_1328,2026-05-17 14:13:30,46.24,3.58,66.96,53.16,28.5,44.76,323.99,85.19,81.91,60.18
BATCH_1329,2026-05-17 18:13:30,46.28,7.2,68.49,91.7,17.99,22.53,620.34,87.72,80.71,50.64
BATCH_1330,2026-05-17 22:13:30,39.88,9.06,57.06,93.28,23.41,34.61,370.64,92.72,88.57,64.27
BATCH_1331,2026-05-18 02:13:30,31.03,8.44,59.28,44.09,14.23,37.45,168.46,81.67,81.4,63.85
BATCH_1332,2026-05-18 06:13:30,40.76,5.57,44.82,106.8,23.77,42.56,334.02,95.2,67.59,58.12
BATCH_1333,2026-05-18 10:13:30,33.23,8.98,56.43,86.48,21.0,51.93,343.53,92.11,89.58,65.35
BATCH_1334,2026-05-18 14:13:30,49.75,6.3,68.9,102.99,22.37,32.28,435.74,95.11,76.33,58.12
BATCH_1335,2026-05-18 18:13:30,38.53,5.33,65.75,48.16,16.77,35.02,225.84,91.26,78.42,64.55
BATCH_1336,2026-05-18 22:13:30,31.75,4.77,65.01,47.68,11.69,34.87,213.85,76.26,80.07,59.61
BATCH_1337,2026-05-19 02:13:30,36.79,5.4,60.5,72.02,22.52,31.98,653.05,89.98,96.56,56.78
BATCH_1338,2026-05-19 06:13:30,44.13,5.22,60.07,85.06,9.68,36.53,307.91,76.5,93.84,62.02
BATCH_1339,2026-05-19 10:13:30,34.36,6.34,53.4,110.93,18.41,47.71,382.94,87.22,75.09,56.26
BATCH_1340,2026-05-19 14:13:30,31.78,6.32,66.99,89.12,24.71,29.46,358.74,93.15,82.3,62.34
BATCH_1341,2026-05-19 18:13:30,42.44,6.01,64.21,70.15,20.96,44.28,318.96,91.9,91.62,66.92
BATCH_1342,2026-05-19 22:13:30,42.45,6.87,64.92,54.47,29.74,22.98,250.57,92.79,84.81,66.87
BATCH_1343,2026-05-20 02:13:30,34.93,8.38,54.74,99.6,25.13,34.39,356.71,83.29,75.91,55.91
BATCH_1344,2026-05-20 06:13:30,35.29,7.9,38.47,55.71,16.73,36.71,174.39,83.81,62.56,56.97
BATCH_1345,2026-05-20 10:13:30,42.32,3.03,70.97,107.57,20.14,56.75,495.43,88.12,69.86,50.71
BATCH_1346,2026-05-20 14:13:30,25.52,1.0,55.21,69.31,19.76,37.25,256.51,88.56,87.58,66.09
BATCH_1347,2026-05-20 18:13:30,25.93,7.87,51.37,106.81,12.09,17.99,323.81,80.53,69.06,53.18
BATCH_1348,2026-05-20 22:13:30,32.82,3.27,66.93,88.58,15.3,20.01,319.81,84.81,84.18,61.08
BATCH_1349,2026-05-21 02:13:30,37.87,5.55,56.08,72.26,17.2,40.34,266.23,86.56,92.23,66.82
BATCH_1350,2026-05-21 06:13:30,43.11,3.66,70.6,64.61,9.82,46.14,327.57,71.81,83.06,55.17
BATCH_1351,2026-05-21 10:13:30,54.75,2.4,66.17,68.18,20.24,43.75,308.23,88.97,88.48,64.86
BATCH_1352,2026-05-21 14:13:30,48.58,7.08,66.84,83.57,18.75,41.68,345.77,89.6,86.91,63.21
BATCH_1353,2026-05-21 18:13:30,38.4,7.52,46.34,76.54,11.64,51.62,255.62,79.0,81.47,59.85
BATCH_1354,2026-05-21 22:13:30,39.81,4.85,72.12,63.12,22.02,34.6,277.33,90.73,77.85,62.36
BATCH_1355,2026-05-22 02:13:30,29.97,1.0,62.61,71.69,23.58,48.95,328.22,83.6,93.09,63.87
BATCH_1356,2026-05-22 06:13:30,39.81,4.91,56.31,76.57,21.14,23.68,307.71,96.76,93.31,69.92
BATCH_1357,2026-05-22 10:13:30,37.11,6.78,61.43,32.43,18.38,30.95,140.49,89.2,78.41,66.62
BATCH_1358,2026-05-22 14:13:30,43.23,3.04,42.24,84.16,22.96,21.93,209.9,89.46,74.98,62.99
BATCH_1359,2026-05-22 18:13:30,31.73,6.37,64.09,55.41,23.4,37.25,240.65,98.8,85.39,69.85
BATCH_1360,2026-05-22 22:13:30,45.19,5.97,49.71,51.93,21.54,39.54,233.26,91.19,75.68,63.17
BATCH_1361,2026-05-23 02:13:30,55.33,7.16,46.47,41.25,15.88,41.14,192.65,82.2,63.79,56.2
BATCH_1362,2026-05-23 06:13:30,38.91,6.24,44.78,39.12,21.38,40.62,294.84,95.68,65.12,58.65
BATCH_1363,2026-05-23 10:13:30,44.02,4.05,71.13,47.89,25.98,30.72,266.43,79.66,72.81,56.28
BATCH_1364,2026-05-23 14:13:30,46.9,8.39,53.71,60.82,17.02,38.1,259.49,87.47,82.45,63.5
BATCH_1365,2026-05-23 18:13:30,35.99,5.68,75.34,114.07,30.49,25.03,535.51,83.77,61.66,44.33
BATCH_1366,2026-05-23 22:13:30,42.24,5.95,54.64,64.48,17.37,53.63,268.13,90.84,86.39,66.13
BATCH_1367,2026-05-24 02:13:30,40.13,4.13,42.93,78.56,20.16,36.96,213.77,84.6,77.01,61.73
BATCH_1368,2026-05-24 06:13:30,40.98,5.11,48.83,83.01,16.64,35.11,257.6,88.52,81.08,63.44
BATCH_1369,2026-05-24 10:13:30,32.27,4.23,72.36,77.62,21.12,55.89,384.97,88.93,83.32,60.17
BATCH_1370,2026-05-24 14:13:30,40.25,5.65,58.44,73.45,11.29,27.58,255.77,80.92,95.02,66.03
BATCH_1371,2026-05-24 18:13:30,44.98,9.42,54.52,51.09,17.27,28.74,198.66,87.44,83.56,66.0
BATCH_1372,2026-05-24 22:13:30,54.51,3.26,61.6,104.02,14.54,29.04,398.19,76.23,83.3,54.63
BATCH_1373,2026-05-25 02:13:30,49.59,2.77,65.02,111.14,20.68,39.32,470.27,88.7,74.31,53.58
BATCH_1374,2026-05-25 06:13:30,61.53,8.94,71.17,41.35,24.97,44.32,263.87,90.87,67.7,58.81
BATCH_1375,2026-05-25 10:13:30,32.33,5.58,74.48,54.52,23.23,47.4,323.77,89.92,68.39,56.67
BATCH_1376,2026-05-25 14:13:30,48.72,4.66,56.4,69.4,8.14,65.72,268.26,67.74,92.67,59.4
BATCH_1377,2026-05-25 18:13:30,41.83,8.08,46.74,55.71,30.21,17.51,194.38,81.59,70.48,58.57
BATCH_1378,2026-05-25 22:13:30,61.9,4.79,55.87,85.12,21.48,46.09,361.49,94.76,90.3,66.09
BATCH_1379,2026-05-26 02:13:30,31.92,9.65,62.6,60.43,16.12,34.43,250.6,85.4,85.94,64.37
BATCH_1380,2026-05-26 06:13:30,31.6,7.36,50.36,118.3,20.79,34.14,919.44,95.23,64.15,36.86
BATCH_1381,2026-05-26 10:13:30,34.01,5.02,50.43,98.81,20.88,33.8,301.04,91.41,77.44,61.66
BATCH_1382,2026-05-26 14:13:30,18.76,10.31,63.44,79.25,16.67,30.91,294.24,86.33,92.13,65.74
BATCH_1383,2026-05-26 18:13:30,34.74,4.79,59.51,95.54,20.99,56.85,395.22,89.89,88.25,62.18
BATCH_1384,2026-05-26 22:13:30,32.41,7.48,60.33,97.12,16.96,48.42,381.45,89.22,86.3,61.59
BATCH_1385,2026-05-27 02:13:30,41.5,6.6,52.42,63.72,17.98,40.23,264.63,96.31,84.71,67.76
BATCH_1386,2026-05-27 06:13:30,43.42,8.6,57.7,58.68,16.57,53.51,397.32,89.43,88.69,62.1
BATCH_1387,2026-05-27 10:13:30,58.76,9.12,50.76,76.56,12.84,24.87,227.9,81.52,84.39,62.97
BATCH_1388,2026-05-27 14:13:30,49.5,6.06,68.9,92.23,20.73,26.69,399.41,94.44,79.9,60.51
BATCH_1389,2026-05-27 18:13:30,34.23,4.49,70.35,77.78,22.93,18.22,335.46,85.93,83.53,60.74
BATCH_1390,2026-05-27 22:13:30,31.02,6.92,41.54,43.46,22.57,33.01,136.25,96.26,61.53,62.83
BATCH_1391,2026-05-28 02:13:30,44.92,4.64,50.7,58.94,24.1,41.62,252.08,92.66,76.48,63.44
BATCH_1392,2026-05-28 06:13:30,26.8,10.03,45.03,73.52,21.62,41.03,226.06,90.72,81.66,65.62
BATCH_1393,2026-05-28 10:13:30,58.31,6.27,53.5,73.49,17.34,41.49,273.31,90.61,91.67,67.97
BATCH_1394,2026-05-28 14:13:30,51.79,5.27,59.17,114.45,24.2,25.89,401.05,90.27,75.22,56.92
BATCH_1395,2026-05-28 18:13:30,35.31,6.37,45.5,47.28,13.21,48.03,188.13,81.82,68.63,58.14
BATCH_1396,2026-05-28 22:13:30,22.87,3.31,50.78,85.11,15.5,42.4,281.85,77.23,79.68,57.54
BATCH_1397,2026-05-29 02:13:30,53.54,4.06,49.96,104.78,15.18,47.33,326.71,81.95,70.28,54.14
BATCH_1398,2026-05-29 06:13:30,38.85,8.4,62.07,120.43,25.4,21.07,449.22,85.18,74.11,52.8
BATCH_1399,2026-05-29 10:13:30,52.38,4.69,60.69,66.91,24.71,43.11,292.98,86.58,97.75,68.12
BATCH_1400,2026-05-29 14:13:30,24.06,3.91,52.78,84.83,22.44,28.12,291.33,93.28,85.46,65.95
BATCH_1401,2026-05-29 18:13:30,34.01,7.07,61.77,86.4,25.36,36.03,344.71,86.18,90.98,63.5
BATCH_1402,2026-05-29 22:13:30,40.05,8.37,54.53,78.91,15.6,45.34,286.3,84.68,88.15,63.75
BATCH_1403,2026-05-30 02:13:30,40.47,7.44,57.28,73.02,21.74,40.91,308.11,99.24,91.57,70.21
BATCH_1404,2026-05-30 06:13:30,35.5,7.99,76.73,83.72,19.37,31.48,395.58,87.12,75.93,56.13
BATCH_1405,2026-05-30 10:13:30,46.23,4.49,73.4,24.36,24.23,40.06,395.26,83.39,55.99,46.67
BATCH_1406,2026-05-30 14:13:30,29.32,3.16,47.0,88.64,19.42,24.68,260.11,86.55,75.05,60.15
BATCH_1407,2026-05-30 18:13:30,38.58,9.0,68.3,77.52,18.08,51.5,363.09,89.62,85.63,62.11
BATCH_1408,2026-05-30 22:13:30,41.2,5.35,68.11,70.55,22.7,37.95,323.23,94.17,86.04,65.45
BATCH_1409,2026-05-31 02:13:30,45.14,5.5,48.52,115.94,24.38,51.19,406.39,89.28,68.64,53.71
BATCH_1410,2026-05-31 06:13:30,47.12,8.66,68.19,61.5,16.66,34.73,286.12,82.84,82.74,60.86
BATCH_1411,2026-05-31 10:13:30,28.75,7.11,75.38,66.94,19.69,34.76,319.96,92.61,78.83,62.05
BATCH_1412,2026-05-31 14:13:30,24.66,6.91,48.77,114.83,14.71,32.36,303.39,86.58,66.02,55.08
BATCH_1413,2026-05-31 18:13:30,52.78,10.33,50.82,58.36,7.51,48.76,208.96,65.11,77.71,54.38
BATCH_1414,2026-05-31 22:13:30,43.32,4.71,70.18,64.0,21.0,32.91,306.97,92.87,80.68,63.34
BATCH_1415,2026-06-01 02:13:30,32.52,7.86,62.71,72.06,23.04,46.45,317.64,91.63,91.98,67.0
BATCH_1416,2026-06-01 06:13:30,55.51,6.11,65.51,91.81,21.31,36.18,370.92,96.06,83.29,63.49
BATCH_1417,2026-06-01 10:13:30,41.16,6.54,63.41,79.16,10.25,20.24,310.27,78.16,95.43,63.24
BATCH_1418,2026-06-01 14:13:30,51.79,9.06,63.91,49.15,18.25,34.3,240.37,88.6,86.43,66.19
BATCH_1419,2026-06-01 18:13:30,40.68,7.02,46.74,64.36,8.91,28.21,187.39,78.5,77.46,60.37
BATCH_1420,2026-06-01 22:13:30,60.61,7.08,70.47,62.85,26.85,40.34,321.36,91.71,80.79,62.43
BATCH_1421,2026-06-02 02:13:30,57.55,8.15,71.7,73.46,14.57,28.1,312.52,80.53,86.15,60.4
BATCH_1422,2026-06-02 06:13:30,37.51,5.27,57.71,83.52,26.28,49.26,382.82,90.32,95.39,65.63
BATCH_1423,2026-06-02 10:13:30,49.72,4.32,59.57,83.36,24.73,39.09,352.54,90.77,95.77,66.98
BATCH_1424,2026-06-02 14:13:30,46.45,3.91,44.69,39.48,15.5,38.22,150.57,75.7,63.26,54.82
BATCH_1425,2026-06-02 18:13:30,53.69,2.07,65.14,96.28,14.34,46.56,401.48,73.71,80.86,52.53
BATCH_1426,2026-06-02 22:13:30,30.35,10.11,65.72,80.05,21.75,49.64,352.39,98.56,89.23,67.49
BATCH_1427,2026-06-03 02:13:30,46.86,3.79,59.38,102.69,15.78,39.8,401.06,83.95,81.19,56.78
BATCH_1428,2026-06-03 06:13:30,50.58,5.56,71.24,83.88,20.51,32.29,397.38,98.32,83.14,63.43
BATCH_1429,2026-06-03 10:13:30,22.41,5.45,56.66,97.03,17.59,22.26,310.4,91.12,82.22,63.14
BATCH_1430,2026-06-03 14:13:30,28.17,6.61,65.65,84.33,11.09,33.14,310.87,90.29,87.46,64.89
BATCH_1431,2026-06-03 18:13:30,19.61,7.63,49.8,101.92,8.85,33.83,248.28,77.42,71.91,55.64
BATCH_1432,2026-06-03 22:13:30,37.31,7.72,59.76,85.45,21.13,41.07,321.2,98.68,94.37,70.66
BATCH_1433,2026-06-04 02:13:30,47.18,4.83,58.26,73.04,17.19,36.55,266.52,86.28,93.79,67.32
BATCH_1434,2026-06-04 06:13:30,55.02,5.67,62.25,120.45,17.23,46.88,469.09,93.06,72.98,54.83
BATCH_1435,2026-06-04 10:13:30,40.74,6.57,56.3,92.78,23.48,33.87,340.3,94.66,87.03,65.46
BATCH_1436,2026-06-04 14:13:30,56.29,5.5,58.69,86.47,25.87,39.43,343.3,90.45,91.71,65.55
BATCH_1437,2026-06-04 18:13:30,26.2,9.21,68.26,49.47,18.64,51.84,255.03,84.02,76.8,60.01
BATCH_1438,2026-06-04 22:13:30,22.97,6.98,55.63,49.23,18.3,43.42,219.57,88.18,79.9,64.12
BATCH_1439,2026-06-05 02:13:30,39.44,7.47,43.93,80.85,22.5,39.4,276.18,93.95,79.15,64.21
BATCH_1440,2026-06-05 06:13:30,43.84,7.33,77.5,77.91,13.22,33.98,331.24,85.15,76.61,57.8
BATCH_1441,2026-06-05 10:13:30,39.67,8.35,73.81,62.72,21.12,33.67,306.26,88.02,75.49,59.35
BATCH_1442,2026-06-05 14:13:30,19.33,6.36,47.08,77.82,22.76,31.49,229.43,99.9,82.02,69.32
BATCH_1443,2026-06-05 18:13:30,39.11,3.41,66.9,106.77,23.4,34.59,454.97,92.92,72.14,54.92
BATCH_1444,2026-06-05 22:13:30,26.96,6.8,54.97,88.91,10.32,47.56,308.85,80.32,84.46,59.77
BATCH_1445,2026-06-06 02:13:30,46.7,4.7,62.63,52.18,16.19,37.78,222.24,77.92,84.44,61.74
BATCH_1446,2026-06-06 06:13:30,43.67,4.94,62.94,72.77,15.61,26.5,272.45,84.91,93.92,66.62
BATCH_1447,2026-06-06 10:13:30,30.6,7.17,57.66,58.9,20.5,57.68,272.78,95.95,87.55,68.48
BATCH_1448,2026-06-06 14:13:30,34.86,8.48,52.16,67.25,22.4,43.2,236.45,98.77,84.91,69.79
BATCH_1449,2026-06-06 18:13:30,29.41,6.04,53.09,66.73,27.48,25.93,253.9,85.02,90.23,65.82
BATCH_1450,2026-06-06 22:13:30,39.37,6.62,50.84,65.45,17.53,35.58,231.84,87.66,83.83,65.07
BATCH_1451,2026-06-07 02:13:30,49.55,9.4,51.68,49.9,17.51,41.11,225.86,84.09,79.44,62.09
BATCH_1452,2026-06-07 06:13:30,30.14,6.48,59.33,72.45,25.75,57.05,331.01,93.23,94.36,68.14
BATCH_1453,2026-06-07 10:13:30,45.04,11.2,52.84,63.79,21.48,28.92,231.47,90.94,84.93,66.83
BATCH_1454,2026-06-07 14:13:30,34.7,7.13,66.82,20.0,26.34,49.76,166.42,95.11,63.7,62.22
